severity,mode,count,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0.0,both,100,0.08359058586067304,0.5510199999999998,0.01,179.6036022909132,179.60327721353363,1.1026319489620708,1.1020377027769057
0.0,crump,100,0.08285839791952446,0.55402,0.04,180.0,180.0,1.0,1.0
0.0,source,100,0.0834501570444959,0.5511800000000003,0.03,179.6036022909132,180.0,1.1026319489620708,1.0
0.0,target,100,0.08293719708065429,0.5673199999999998,0.02,180.0,179.60327721353363,1.0,1.1020377027769057
0.0,unweighted,100,0.08285839791952446,0.55402,0.04,180.0,180.0,1.0,1.0
0.1,both,100,0.07916393350240386,0.6898599999999996,0.0,171.1889126120671,171.22227238306888,1.4961051715155818,1.5012025885353566
0.1,crump,100,0.11278906531969217,0.03549999999999997,0.85,180.0,180.0,1.0,1.0
0.1,source,100,0.09940201926969955,0.15885999999999997,0.43,171.1889126120671,180.0,1.4961051715155818,1.0
0.1,target,100,0.09229767842426986,0.28704,0.06,180.0,171.22227238306888,1.0,1.5012025885353566
0.1,unweighted,100,0.11278906531969217,0.03549999999999997,0.85,180.0,180.0,1.0,1.0
0.2,both,100,0.08051040699980999,0.6461800000000001,0.0,155.87506759889288,155.8290163669046,1.8322205791346622,1.841326573506042
0.2,crump,100,0.14471366267181826,0.0020000000000000013,1.0,178.85,178.84,1.0,1.0
0.2,source,100,0.12270738638559892,0.005740000000000002,0.99,155.87506759889288,180.0,1.8322205791346622,1.0
0.2,target,100,0.1050746894633909,0.06461999999999996,0.5,180.0,155.8290163669046,1.0,1.841326573506042
0.2,unweighted,100,0.14642926384125898,0.0020000000000000013,1.0,180.0,180.0,1.0,1.0
0.3,both,100,0.08037909930256787,0.64898,0.0,138.029945453416,137.81272458718536,2.179854364746635,2.1955819064380773
0.3,crump,100,0.1578993086957358,0.0020000000000000013,1.0,165.0,165.34,1.0,1.0
0.3,source,100,0.14500412924771425,0.0021000000000000016,1.0,138.029945453416,180.0,2.179854364746635,1.0
0.3,target,100,0.11892100846047385,0.010480000000000005,0.97,180.0,137.81272458718536,1.0,2.1955819064380773
0.3,unweighted,100,0.1789806085390946,0.0020000000000000013,1.0,180.0,180.0,1.0,1.0
0.4,both,100,0.0810802582937774,0.6277799999999999,0.0,119.47879502399833,119.43576270200852,2.5907690905721705,2.605309136561037
0.4,crump,100,0.1440853397596947,0.007100000000000003,0.96,134.97,134.43,1.0,1.0
0.4,source,100,0.168066756505172,0.0020000000000000013,1.0,119.47879502399833,180.0,2.5907690905721705,1.0
0.4,target,100,0.13598844261328602,0.0022600000000000016,1.0,180.0,119.43576270200852,1.0,2.605309136561037
0.4,unweighted,100,0.21092302394833098,0.0020000000000000013,1.0,180.0,180.0,1.0,1.0
