repeat,severity,mode,statistic,pvalue,reject,source_ess,target_ess,source_max_weight,target_max_weight
0,0.0,unweighted,0.0701377648224356,0.924,0.0,180.0,180.0,1.0,1.0
0,0.0,source,0.07061014165760801,0.92,0.0,179.9996893395273,180.0,1.003206768925092,1.0
0,0.0,target,0.07019633637411532,0.928,0.0,180.0,179.99979242955902,1.0,1.002837806698248
0,0.0,both,0.07066901551434523,0.918,0.0,179.9996893395273,179.99979242955902,1.003206768925092,1.002837806698248
0,0.0,crump,0.0701377648224356,0.924,0.0,180.0,180.0,1.0,1.0
0,0.1,unweighted,0.09554557327389115,0.14,0.0,180.0,180.0,1.0,1.0
0,0.1,source,0.08099804756796564,0.66,0.0,171.73117508231252,180.0,1.4734999429971232,1.0
0,0.1,target,0.07844009496446679,0.75,0.0,180.0,172.8455315550632,1.0,1.5186417347999621
0,0.1,both,0.0642739952718065,0.984,0.0,171.73117508231252,172.8455315550632,1.4734999429971232,1.5186417347999621
0,0.1,crump,0.09554557327389115,0.14,0.0,180.0,180.0,1.0,1.0
0,0.2,unweighted,0.137987316148453,0.002,1.0,180.0,180.0,1.0,1.0
0,0.2,source,0.11373796286698337,0.006,1.0,159.38404768479248,180.0,1.7419534150403786,1.0
0,0.2,target,0.1048460195023901,0.046,1.0,180.0,161.71181143099727,1.0,1.8011826633554175
0,0.2,both,0.0803506050097283,0.696,0.0,159.38404768479248,161.71181143099727,1.7419534150403786,1.8011826633554175
0,0.2,crump,0.137987316148453,0.002,1.0,180.0,180.0,1.0,1.0
0,0.3,unweighted,0.18328625971650664,0.002,1.0,180.0,180.0,1.0,1.0
0,0.3,source,0.14220879185580526,0.002,1.0,136.30588493068896,180.0,2.205308916267181,1.0
0,0.3,target,0.1292897772046666,0.002,1.0,180.0,138.55063059754912,1.0,2.2546595034842674
0,0.3,both,0.08202366846515342,0.646,0.0,136.30588493068896,138.55063059754912,2.205308916267181,2.2546595034842674
0,0.3,crump,0.1612728186494385,0.002,1.0,170.0,162.0,1.0,1.0
0,0.4,unweighted,0.22264119894071027,0.002,1.0,180.0,180.0,1.0,1.0
0,0.4,source,0.17750650633278842,0.002,1.0,116.92047915476708,180.0,2.6874898810428904,1.0
0,0.4,target,0.15426327128762063,0.002,1.0,180.0,119.70818303182921,1.0,2.7161420698485266
0,0.4,both,0.09388789465852815,0.266,0.0,116.92047915476708,119.70818303182921,2.6874898810428904,2.7161420698485266
0,0.4,crump,0.15076545923771198,0.002,1.0,136.0,124.0,1.0,1.0
1,0.0,unweighted,0.08021399939033684,0.66,0.0,180.0,180.0,1.0,1.0
1,0.0,source,0.08006550802769419,0.684,0.0,179.98280038835347,180.0,1.0211943561912133,1.0
1,0.0,target,0.07960414353189094,0.702,0.0,180.0,179.9816255643057,1.0,1.0317506153297495
1,0.0,both,0.07945487958431947,0.718,0.0,179.98280038835347,179.9816255643057,1.0211943561912133,1.0317506153297495
1,0.0,crump,0.08021399939033684,0.66,0.0,180.0,180.0,1.0,1.0
1,0.1,unweighted,0.12095886297820455,0.002,1.0,180.0,180.0,1.0,1.0
1,0.1,source,0.10325362913630144,0.04,1.0,164.39260823124033,180.0,1.549595081983691,1.0
1,0.1,target,0.09152224775231611,0.256,0.0,180.0,164.68623362081834,1.0,1.7394389464258968
1,0.1,both,0.0740544879533066,0.856,0.0,164.39260823124033,164.68623362081834,1.549595081983691,1.7394389464258968
1,0.1,crump,0.12095886297820455,0.002,1.0,180.0,180.0,1.0,1.0
1,0.2,unweighted,0.1480015174897119,0.002,1.0,180.0,180.0,1.0,1.0
1,0.2,source,0.12054826345373142,0.002,1.0,151.12131768743248,180.0,1.8076445508008196,1.0
1,0.2,target,0.10378592602132374,0.05,0.0,180.0,150.7405207328271,1.0,2.032023890841138
1,0.2,both,0.07545158734523925,0.836,0.0,151.12131768743248,150.7405207328271,1.8076445508008196,2.032023890841138
1,0.2,crump,0.14342662167916925,0.002,1.0,175.0,178.0,1.0,1.0
1,0.3,unweighted,0.18263132049230302,0.002,1.0,180.0,180.0,1.0,1.0
1,0.3,source,0.14531966868160026,0.002,1.0,133.04236195954246,180.0,2.112496695955629,1.0
1,0.3,target,0.12024800526625168,0.002,1.0,180.0,132.93345442210483,1.0,2.414104905557184
1,0.3,both,0.0780936917950735,0.756,0.0,133.04236195954246,132.93345442210483,2.112496695955629,2.414104905557184
1,0.3,crump,0.14110879283230543,0.002,1.0,145.0,155.0,1.0,1.0
1,0.4,unweighted,0.2230010631001372,0.002,1.0,180.0,180.0,1.0,1.0
1,0.4,source,0.17745631549343233,0.002,1.0,113.35366293144247,180.0,2.59132488086078,1.0
